                               Labor Force Data by County, 2022 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate

CN0100100000000   01     001   Autauga County, AL                                2022        26,656       26,065        591      2.2
CN0100300000000   01     003   Baldwin County, AL                                2022       102,280       99,930      2,350      2.3
CN0100500000000   01     005   Barbour County, AL                                2022         8,139        7,813        326      4.0
CN0100700000000   01     007   Bibb County, AL                                   2022         8,688        8,476        212      2.4
CN0100900000000   01     009   Blount County, AL                                 2022        25,685       25,128        557      2.2
CN0101100000000   01     011   Bullock County, AL                                2022         4,541        4,416        125      2.8
CN0101300000000   01     013   Butler County, AL                                 2022         8,811        8,518        293      3.3
CN0101500000000   01     015   Calhoun County, AL                                2022        45,733       44,371      1,362      3.0
CN0101700000000   01     017   Chambers County, AL                               2022        15,906       15,508        398      2.5
CN0101900000000   01     019   Cherokee County, AL                               2022        11,723       11,457        266      2.3
CN0102100000000   01     021   Chilton County, AL                                2022        20,180       19,732        448      2.2
CN0102300000000   01     023   Choctaw County, AL                                2022         4,325        4,164        161      3.7
CN0102500000000   01     025   Clarke County, AL                                 2022         7,676        7,302        374      4.9
CN0102700000000   01     027   Clay County, AL                                   2022         6,106        5,971        135      2.2
CN0102900000000   01     029   Cleburne County, AL                               2022         6,133        5,989        144      2.3
CN0103100000000   01     031   Coffee County, AL                                 2022        21,624       21,090        534      2.5
CN0103300000000   01     033   Colbert County, AL                                2022        23,749       23,047        702      3.0
CN0103500000000   01     035   Conecuh County, AL                                2022         4,252        4,106        146      3.4
CN0103700000000   01     037   Coosa County, AL                                  2022         4,463        4,353        110      2.5
CN0103900000000   01     039   Covington County, AL                              2022        15,080       14,692        388      2.6
CN0104100000000   01     041   Crenshaw County, AL                               2022         5,965        5,805        160      2.7
CN0104300000000   01     043   Cullman County, AL                                2022        39,477       38,688        789      2.0
CN0104500000000   01     045   Dale County, AL                                   2022        21,026       20,490        536      2.5
CN0104700000000   01     047   Dallas County, AL                                 2022        13,733       13,058        675      4.9
CN0104900000000   01     049   DeKalb County, AL                                 2022        30,958       30,249        709      2.3
CN0105100000000   01     051   Elmore County, AL                                 2022        38,045       37,230        815      2.1
CN0105300000000   01     053   Escambia County, AL                               2022        14,198       13,769        429      3.0
